building_id,room_id,room_type,capacity,temperature,humidity,occupancy,energy_consumption,hvac_energy,lighting_energy,equipment_energy,other_energy,hvac_status,hvac_setpoint,equipment_status,outdoor_temperature,outdoor_humidity,timestamp
B001,R001,Office,12,23.29,57.08,0,0.108,0.0,0.007,0.086,0.014,OFF,24,Normal,20.25,70.81,2026-08-28 00:00:00
B001,R002,Meeting Room,10,23.37,58.74,0,0.082,0.0,0.006,0.063,0.012,OFF,24,Normal,21.0,70.82,2026-08-28 00:00:00
B001,R003,Server Room,3,21.75,60.37,2,0.652,0.0,0.006,0.636,0.01,OFF,22,Normal,20.64,73.29,2026-08-28 00:00:00
B002,R001,Office,12,23.55,60.43,0,0.113,0.0,0.007,0.087,0.019,OFF,24,Normal,21.76,71.62,2026-08-28 00:00:00
B002,R002,Meeting Room,10,23.74,56.42,0,0.089,0.0,0.006,0.064,0.019,OFF,24,Normal,22.25,73.25,2026-08-28 00:00:00
B002,R003,Server Room,3,21.87,60.42,2,0.668,0.0,0.006,0.645,0.017,OFF,22,Normal,20.68,73.09,2026-08-28 00:00:00
B003,R001,Office,12,23.43,59.51,1,0.116,0.0,0.009,0.092,0.014,OFF,24,Normal,21.220000000000002,73.23,2026-08-28 00:00:00
B003,R002,Meeting Room,10,23.31,59.74,2,0.097,0.0,0.01,0.076,0.011,OFF,24,Normal,20.450000000000003,70.7,2026-08-28 00:00:00
B003,R003,Server Room,3,21.93,58.07,3,0.657,0.0,0.007,0.633,0.017,OFF,22,Normal,20.43,72.43,2026-08-28 00:00:00
B001,R001,Office,12,23.27,57.45,1,0.12,0.0,0.01,0.097,0.014,OFF,24,Normal,20.37,69.46,2026-08-28 00:15:00
B001,R002,Meeting Room,10,23.62,58.42,2,0.102,0.0,0.01,0.075,0.017,OFF,24,Normal,21.96,71.28,2026-08-28 00:15:00
B001,R003,Server Room,3,21.64,59.09,0,0.661,0.0,0.002,0.639,0.02,OFF,22,Normal,20.83,71.25,2026-08-28 00:15:00
B002,R001,Office,12,23.75,57.63,1,0.117,0.0,0.009,0.095,0.013,OFF,24,Normal,21.270000000000003,72.0,2026-08-28 00:15:00
B002,R002,Meeting Room,10,23.52,60.35,0,0.082,0.0,0.006,0.061,0.015,OFF,24,Normal,22.07,74.78,2026-08-28 00:15:00
B002,R003,Server Room,3,22.09,57.85,0,0.623,0.0,0.002,0.608,0.013,OFF,22,Normal,22.73,72.56,2026-08-28 00:15:00
B003,R001,Office,12,23.39,58.76,1,0.123,0.0,0.01,0.095,0.018,OFF,24,Normal,20.78,71.72,2026-08-28 00:15:00
B003,R002,Meeting Room,10,23.28,61.73,0,0.082,0.0,0.006,0.061,0.014,OFF,24,Normal,19.96,72.39,2026-08-28 00:15:00
B003,R003,Server Room,3,21.75,61.66,1,0.649,0.0,0.004,0.629,0.016,OFF,22,Normal,20.540000000000003,70.67,2026-08-28 00:15:00
B001,R001,Office,12,23.12,59.91,1,0.123,0.0,0.009,0.094,0.019,OFF,24,Normal,20.88,74.27,2026-08-28 00:30:00
B001,R002,Meeting Room,10,23.72,60.26,0,0.082,0.0,0.006,0.062,0.013,OFF,24,Normal,20.48,72.35,2026-08-28 00:30:00
B001,R003,Server Room,3,21.67,59.34,0,0.656,0.0,0.002,0.636,0.018,OFF,22,Normal,21.67,72.97,2026-08-28 00:30:00
B002,R001,Office,12,23.78,60.69,3,0.137,0.0,0.013,0.109,0.015,OFF,24,Normal,21.810000000000002,74.31,2026-08-28 00:30:00
B002,R002,Meeting Room,10,23.69,57.36,2,0.097,0.0,0.01,0.073,0.015,OFF,24,Normal,21.94,68.32,2026-08-28 00:30:00
B002,R003,Server Room,3,21.95,58.86,0,0.661,0.0,0.002,0.64,0.019,OFF,22,Normal,21.59,70.53,2026-08-28 00:30:00
B003,R001,Office,12,23.6,57.98,1,0.117,0.0,0.009,0.095,0.013,OFF,24,Normal,21.080000000000002,72.03,2026-08-28 00:30:00
B003,R002,Meeting Room,10,23.23,57.24,0,0.079,0.0,0.006,0.061,0.012,OFF,24,Normal,20.740000000000002,69.12,2026-08-28 00:30:00
B003,R003,Server Room,3,21.9,59.75,1,0.655,0.0,0.004,0.632,0.019,OFF,22,Normal,20.990000000000002,72.65,2026-08-28 00:30:00
B001,R001,Office,12,23.13,59.46,0,0.11,0.0,0.008,0.089,0.013,OFF,24,Normal,21.02,74.0,2026-08-28 00:45:00
B001,R002,Meeting Room,10,23.67,59.8,3,0.104,0.0,0.012,0.08,0.012,OFF,24,Normal,19.25,73.86,2026-08-28 00:45:00
B001,R003,Server Room,3,21.68,57.59,1,0.661,0.0,0.004,0.639,0.019,OFF,22,Normal,21.74,69.2,2026-08-28 00:45:00
B002,R001,Office,12,23.99,58.86,1,0.117,0.0,0.009,0.095,0.013,OFF,24,Normal,22.310000000000002,71.77,2026-08-28 00:45:00
B002,R002,Meeting Room,10,23.8,60.18,2,0.098,0.0,0.01,0.075,0.013,OFF,24,Normal,21.75,72.74,2026-08-28 00:45:00
B002,R003,Server Room,3,21.94,62.05,1,0.668,0.0,0.004,0.644,0.019,OFF,22,Normal,21.790000000000003,74.72,2026-08-28 00:45:00
B003,R001,Office,12,23.76,59.58,0,0.11,0.0,0.007,0.086,0.016,OFF,24,Normal,20.23,72.74,2026-08-28 00:45:00
B003,R002,Meeting Room,10,23.29,58.64,0,0.09,0.0,0.006,0.064,0.019,OFF,24,Normal,20.080000000000002,71.33,2026-08-28 00:45:00
B003,R003,Server Room,3,21.92,58.07,0,0.655,0.0,0.002,0.64,0.013,OFF,22,Normal,20.92,69.72,2026-08-28 00:45:00
B001,R001,Office,12,23.23,60.51,0,0.113,0.0,0.008,0.089,0.017,OFF,24,Normal,21.6,76.11,2026-08-28 01:00:00
B001,R002,Meeting Room,10,23.62,60.98,0,0.082,0.0,0.006,0.061,0.014,OFF,24,Normal,21.53,74.62,2026-08-28 01:00:00
B001,R003,Server Room,3,21.75,60.23,1,0.648,0.0,0.004,0.627,0.016,OFF,22,Normal,20.57,75.0,2026-08-28 01:00:00
B002,R001,Office,12,23.86,61.0,1,0.122,0.0,0.01,0.096,0.017,OFF,24,Normal,22.490000000000002,73.46,2026-08-28 01:00:00
B002,R002,Meeting Room,10,23.79,60.94,1,0.094,0.0,0.008,0.067,0.019,OFF,24,Normal,22.720000000000002,72.71,2026-08-28 01:00:00
B002,R003,Server Room,3,21.61,62.13,1,0.662,0.0,0.004,0.646,0.011,OFF,22,Normal,21.21,74.9,2026-08-28 01:00:00
B003,R001,Office,12,23.5,59.16,0,0.115,0.0,0.008,0.09,0.017,OFF,24,Normal,21.220000000000002,72.59,2026-08-28 01:00:00
B003,R002,Meeting Room,10,23.57,59.5,0,0.086,0.0,0.006,0.063,0.016,OFF,24,Normal,20.880000000000003,74.01,2026-08-28 01:00:00
B003,R003,Server Room,3,21.87,56.62,4,0.679,0.0,0.009,0.652,0.017,OFF,22,Normal,21.19,70.6,2026-08-28 01:00:00
B001,R001,Office,12,23.11,59.37,0,0.11,0.0,0.008,0.089,0.014,OFF,24,Normal,21.21,72.74,2026-08-28 01:15:00
B001,R002,Meeting Room,10,23.6,58.48,0,0.081,0.0,0.006,0.062,0.012,OFF,24,Normal,20.94,70.74,2026-08-28 01:15:00
B001,R003,Server Room,3,21.73,59.07,0,0.644,0.0,0.002,0.625,0.017,OFF,22,Normal,21.57,72.91,2026-08-28 01:15:00
B002,R001,Office,12,23.83,55.98,6,0.154,0.0,0.019,0.124,0.011,OFF,24,Normal,21.68,71.82,2026-08-28 01:15:00
B002,R002,Meeting Room,10,23.86,58.92,0,0.087,0.0,0.006,0.062,0.018,OFF,24,Normal,22.290000000000003,71.37,2026-08-28 01:15:00
B002,R003,Server Room,3,21.41,53.74,2,0.667,0.0,0.006,0.642,0.019,OFF,22,Normal,20.970000000000002,66.84,2026-08-28 01:15:00
B003,R001,Office,12,23.22,57.62,4,0.145,0.0,0.015,0.112,0.017,OFF,24,Normal,19.770000000000003,71.89,2026-08-28 01:15:00
