event_id,building_id,room_id,timestamp,event_type,access_type,authorized,severity
SEC0039,B003,R007,2026-08-28 00:04:00,Access Granted,Authorized,True,Low
SEC0001,B003,R007,2026-08-28 00:47:00,Door Opened,Authorized,True,Low
SEC0003,B003,R008,2026-08-28 01:01:00,Invalid Badge,Unauthorized,False,Medium
SEC0064,B003,R009,2026-08-28 01:20:00,Invalid Badge,Unauthorized,False,Critical
SEC0009,B003,R008,2026-08-28 01:46:00,Access Granted,Authorized,True,Low
SEC0017,B001,R001,2026-08-28 01:51:00,Door Closed,Authorized,True,Low
SEC0040,B001,R001,2026-08-28 01:55:00,Door Opened,Authorized,True,Low
SEC0059,B003,R008,2026-08-28 02:17:00,Unauthorized Access,Unauthorized,False,High
SEC0053,B001,R002,2026-08-28 02:18:00,Unauthorized Access,Unauthorized,False,High
SEC0060,B003,R008,2026-08-28 02:20:00,Unauthorized Access,Unauthorized,False,High
SEC0054,B001,R002,2026-08-28 02:21:00,Unauthorized Access,Unauthorized,False,High
SEC0056,B002,R005,2026-08-28 02:23:00,Unauthorized Access,Unauthorized,False,High
SEC0061,B003,R008,2026-08-28 02:23:00,Unauthorized Access,Unauthorized,False,Critical
SEC0055,B001,R002,2026-08-28 02:24:00,Unauthorized Access,Unauthorized,False,Critical
SEC0057,B002,R005,2026-08-28 02:26:00,Unauthorized Access,Unauthorized,False,High
SEC0058,B002,R005,2026-08-28 02:29:00,Unauthorized Access,Unauthorized,False,Critical
SEC0048,B002,R006,2026-08-28 03:03:00,Access Granted,Authorized,True,Low
SEC0027,B003,R008,2026-08-28 03:18:00,Badge Scan,Authorized,True,Low
SEC0012,B001,R001,2026-08-28 03:24:00,Door Closed,Authorized,True,Low
SEC0002,B001,R003,2026-08-28 03:43:00,Access Granted,Authorized,True,Low
SEC0026,B003,R009,2026-08-28 03:43:00,Door Closed,Authorized,True,Low
SEC0062,B001,R003,2026-08-28 03:45:00,Door Forced,Unauthorized,False,Critical
SEC0020,B001,R002,2026-08-28 04:15:00,Door Closed,Authorized,True,Low
SEC0022,B002,R004,2026-08-28 04:32:00,Access Granted,Authorized,True,Low
SEC0034,B003,R007,2026-08-28 04:42:00,Door Opened,Authorized,True,Low
SEC0050,B002,R004,2026-08-28 05:24:00,Tailgating Detected,Unauthorized,False,High
SEC0049,B001,R001,2026-08-28 05:26:00,Door Opened,Authorized,True,Low
SEC0030,B001,R002,2026-08-28 05:34:00,Access Granted,Authorized,True,Low
SEC0043,B002,R005,2026-08-28 06:06:00,Tailgating Detected,Unauthorized,False,High
SEC0046,B001,R001,2026-08-28 06:34:00,Badge Scan,Authorized,True,Low
SEC0032,B002,R005,2026-08-28 07:03:00,Door Held Open,Unauthorized,False,Medium
SEC0015,B003,R009,2026-08-28 07:10:00,Door Closed,Authorized,True,Low
SEC0052,B001,R001,2026-08-28 09:13:00,Access Granted,Authorized,True,Low
SEC0038,B001,R001,2026-08-28 10:01:00,Door Opened,Authorized,True,Low
SEC0007,B001,R001,2026-08-28 10:06:00,Access Granted,Authorized,True,Low
SEC0013,B001,R002,2026-08-28 11:13:00,Door Closed,Authorized,True,Low
SEC0008,B002,R004,2026-08-28 11:54:00,Door Closed,Authorized,True,Low
SEC0024,B003,R007,2026-08-28 12:24:00,Badge Scan,Authorized,True,Low
SEC0036,B003,R008,2026-08-28 12:42:00,Door Closed,Authorized,True,Low
SEC0006,B001,R003,2026-08-28 13:21:00,Door Closed,Authorized,True,Low
SEC0051,B002,R005,2026-08-28 13:44:00,Badge Scan,Authorized,True,Low
SEC0021,B003,R009,2026-08-28 13:57:00,Badge Scan,Authorized,True,Low
SEC0037,B002,R006,2026-08-28 14:07:00,Door Opened,Authorized,True,Low
SEC0047,B001,R002,2026-08-28 14:15:00,Access Granted,Authorized,True,Low
SEC0044,B002,R005,2026-08-28 14:55:00,Access Granted,Authorized,True,Low
SEC0031,B003,R008,2026-08-28 15:01:00,Access Granted,Authorized,True,Low
SEC0041,B002,R006,2026-08-28 15:13:00,Door Opened,Authorized,True,Low
SEC0019,B001,R003,2026-08-28 15:25:00,Badge Scan,Authorized,True,Low
SEC0033,B001,R003,2026-08-28 15:52:00,Access Granted,Authorized,True,Low
SEC0016,B003,R009,2026-08-28 17:14:00,Door Closed,Authorized,True,Low
SEC0010,B002,R004,2026-08-28 17:18:00,Door Closed,Authorized,True,Low
SEC0025,B003,R008,2026-08-28 17:55:00,Access Granted,Authorized,True,Low
SEC0005,B001,R002,2026-08-28 18:17:00,Access Granted,Authorized,True,Low
SEC0042,B003,R009,2026-08-28 18:30:00,Door Opened,Authorized,True,Low
SEC0018,B001,R001,2026-08-28 18:56:00,Door Closed,Authorized,True,Low
SEC0035,B002,R006,2026-08-28 19:27:00,Door Opened,Authorized,True,Low
SEC0014,B003,R009,2026-08-28 20:04:00,Door Opened,Authorized,True,Low
SEC0045,B003,R009,2026-08-28 20:06:00,Door Forced,Unauthorized,False,Medium
SEC0023,B001,R001,2026-08-28 20:10:00,Badge Scan,Authorized,True,Low
SEC0029,B003,R007,2026-08-28 20:19:00,Door Opened,Authorized,True,Low
SEC0011,B003,R007,2026-08-28 22:04:00,Invalid Badge,Unauthorized,False,High
SEC0063,B002,R006,2026-08-28 22:10:00,Tailgating Detected,Unauthorized,False,Critical
SEC0004,B003,R007,2026-08-28 22:41:00,Badge Scan,Authorized,True,Low
SEC0028,B001,R003,2026-08-28 23:16:00,Door Opened,Authorized,True,Low
